5.00609	0	536
5.01265	536	1072
5.01964	1072	1608
5.02663	1608	2144
5.03314	2144	2680
5.03408	2680	3216
5.04165	3216	3752
5.04354	3752	1072
5.05765	1072	1340
5.06463	1340	1554
5.07193	1554	1738
5.07892	1738	1903
5.08543	1903	2053
5.08603	2053	2192
5.09272	2192	2323
5.09366	2323	2446
5.09953	2446	2563
5.10299	2563	2675
5.10652	2675	2782
5.1098	2782	2885
5.11899	2885	2984
5.11993	2984	3080
5.12533	3080	3173
5.13499	3173	3263
5.13593	3263	3351
5.1367	3351	3436
5.15099	3436	3519
5.15193	3519	3600
5.1527	3600	3679
5.16699	3679	3757
5.16793	3757	3833
5.1687	3833	3907
5.18299	3907	3980
5.18393	3980	4052
5.1847	4052	4122
5.19899	4122	4191
5.19993	4191	4259
5.2007	4259	4326
5.21499	4326	4392
5.21593	4392	4457
5.2167	4457	4521
5.23099	4521	4584
5.23193	4584	4646
5.2327	4646	4707
5.24699	4707	4768
5.24793	4768	4828
5.2487	4828	4887
5.26299	4887	4945
5.26393	4945	5003
5.2647	5003	5060
5.27899	5060	5116
5.27993	5116	5172
5.2807	5172	5227
5.29499	5227	5281
5.29671	5281	1072
5.31099	1072	1340
5.31797	1340	1554
5.32479	1554	1738
5.3313	1738	1903
5.33782	1903	2053
5.34517	2053	2192
5.35169	2192	2323
5.35263	2323	2446
5.35833	2446	2563
5.36193	2563	2675
5.36485	2675	2782
5.36875	2782	2885
5.37499	2885	2984
5.37859	2984	3080
5.38133	3080	3173
5.39099	3173	3263
5.39193	3263	3351
5.3927	3351	3436
5.40699	3436	3519
5.40793	3519	3600
5.4087	3600	3679
5.42299	3679	3757
5.42393	3757	3833
5.4247	3833	3907
5.43899	3907	3980
5.43993	3980	4052
5.4407	4052	4122
5.45499	4122	4191
5.45593	4191	4259
5.4567	4259	4326
5.47099	4326	4392
5.47193	4392	4457
5.4727	4457	4521
5.48699	4521	4584
5.48793	4584	4646
5.4887	4646	4707
5.50299	4707	4768
5.50393	4768	4828
5.5047	4828	4887
5.51899	4887	4945
5.51993	4945	5003
5.5207	5003	5060
5.53499	5060	5116
5.53593	5116	5172
5.5367	5172	5227
5.55099	5227	5281
5.55193	5281	5335
5.5527	5335	5388
5.56699	5388	5441
